startup_round_id,startup_id,participant_id,participant_type,round_record_date,traction
10,2441,168502,Startup,2013-4-02 22:14:42,964000
10,2441,173160,Startup,2013-4-02 22:14:42,964000
10,2441,171646,Startup,2013-4-02 22:14:42,964000
10,2441,39,User,2013-4-02 22:14:42,964000
10,2441,55,User,2013-4-02 22:14:42,964000
10,2441,8,User,2013-4-02 22:14:42,964000
10,2441,8,User,2013-4-02 22:14:42,964000
10,2441,56,User,2013-4-02 22:14:42,964000
10,2441,43,User,2013-4-02 22:14:42,964000
16,86972,91074,Startup,2013-4-02 22:14:45,1500000
16,86972,70,User,2013-4-02 22:14:45,1500000
16,86972,20,User,2013-4-02 22:14:45,1500000
38,16645,17,User,2013-4-03 18:24:56,107500
38,16645,75,User,2013-4-03 18:24:56,107500
38,16645,72,User,2013-4-03 18:24:56,107500
54,70683,90470,Startup,2013-4-02 22:14:57,120000
54,70683,67163,Startup,2013-4-02 22:14:57,120000
54,70683,174404,Startup,2013-4-02 22:14:57,120000
54,70683,52,User,2013-4-02 22:14:57,120000
61,87522,75930,Startup,2012-4-02 22:15:00,2.6e+07
61,87522,30752,Startup,2012-4-02 22:15:00,2.6e+07
61,87522,1562,Startup,2012-4-02 22:15:00,2.6e+07
63,87201,173340,Startup,2012-4-04 18:09:16,2917
63,87201,87995,Startup,2012-4-04 18:11:15,2917
63,87201,10809,Startup,2014-3-12 00:39:18,
63,87201,73,User,2014-3-12 00:39:18,
63,87201,47,User,2014-3-12 00:39:18,
63,87201,67,User,2014-3-12 00:39:18,
63,87201,58,User,2014-3-12 00:39:18,
63,87201,28,User,2014-3-12 00:39:18,
64,30752,30752,Startup,2013-4-02 22:15:02,17000
64,30752,147831,Startup,2013-4-02 22:15:02,17000
64,30752,2,User,2013-4-02 22:15:02,17000
64,30752,171666,Startup,2013-4-02 22:15:02,17000
64,30752,53,User,2013-4-02 22:15:02,17000
64,30752,44,User,2013-4-02 22:15:02,17000
69,26505,86972,Startup,2012-4-02 22:15:05,5e+05
69,26505,79,User,2012-4-02 22:15:05,5e+05
69,26505,70,User,2012-4-02 22:15:05,5e+05
69,26505,174438,Startup,2012-4-02 22:15:05,5e+05
69,26505,51,User,2012-4-02 22:15:05,5e+05
69,26505,23,User,2012-4-02 22:15:05,5e+05
69,26505,3,User,2012-4-02 22:15:05,5e+05
69,26505,38,User,2012-4-02 22:15:05,5e+05
69,26505,42,User,2012-12-03 05:52:19,5e+05
69,26505,20,User,2012-12-03 05:52:20,5e+05
69,26505,66,User,2012-12-03 05:52:20,5e+05
70,24749,168176,Startup,2013-4-02 22:15:13,2e+05
70,24749,2441,Startup,2013-4-02 22:15:13,2e+05
70,24749,30752,Startup,2013-4-02 22:15:13,2e+05
70,24749,172221,Startup,2013-12-03 05:51:37,2e+05
70,24749,19389,Startup,2013-12-03 05:51:37,2e+05
117,87995,2441,Startup,2012-4-02 22:15:47,2e+05
117,87995,105348,Startup,2012-4-02 22:15:47,2e+05
117,87995,61,User,2012-4-02 22:15:47,2e+05
118,88048,174438,Startup,2013-4-02 22:15:47,800
118,88048,69242,Startup,2013-4-02 22:15:47,800
118,88048,26505,Startup,2013-4-04 03:48:53,800
119,19389,4061,Startup,2012-4-02 22:15:48,3e+06
119,19389,167912,Startup,2012-4-02 22:15:48,3e+06
119,19389,91074,Startup,2012-4-02 22:15:48,3e+06
119,19389,87522,Startup,2012-4-02 22:15:48,3e+06
119,19389,67,User,2012-4-02 22:15:48,3e+06
119,19389,33,User,2012-4-02 22:15:48,3e+06
119,19389,32,User,2012-4-02 22:15:48,3e+06
119,19389,12,User,2012-4-02 22:15:48,3e+06
140,87979,76,User,2013-4-04 00:01:52,2500
140,87979,80,User,2013-4-04 00:01:52,2500
140,87979,49,User,2013-4-04 00:01:52,2500
141,88314,3616,Startup,2012-4-02 22:15:57,350000
141,88314,25071,Startup,2012-4-02 22:15:57,350000
141,88314,162729,Startup,2012-4-02 22:15:57,350000
141,88314,88346,Startup,2012-4-02 22:15:57,350000
141,88314,19389,Startup,2012-4-02 22:15:57,350000
141,88314,92189,Startup,2012-4-02 22:15:57,350000
141,88314,21,User,2012-4-02 22:15:57,350000
141,88314,18,User,2012-4-02 22:15:57,350000
158,3616,174041,Startup,2013-4-02 22:16:04,950000
158,3616,34,User,2013-4-02 22:16:04,950000
158,3616,46,User,2013-4-02 22:16:04,950000
158,3616,45,User,2013-4-02 22:16:04,950000
160,7717,1562,Startup,2013-4-02 22:16:04,130000
160,7717,75930,Startup,2013-4-02 22:16:05,130000
160,7717,173469,Startup,2013-4-02 22:16:05,130000
