district,year,new_parties,new_parties_caste,new_parties_religious,new_parties_socialist,new_parties_communist,new_parties_issues,new_parties_nationalist,new_parties_other,first_foundings,first_foundings_caste,first_foundings_religious,first_foundings_socialist,first_foundings_communist,first_foundings_issues,first_foundings_nationalist,first_foundings_other,franchise_foundings,franchise_foundings_caste,franchise_foundings_religious,franchise_foundings_socialist,franchise_foundings_communist,franchise_foundings_issues,franchise_foundings_nationalist,franchise_foundings_other,voting_participation,raw_rainfall,standardized_rainfall,mild_drought,moderate_drought,mild_flood,moderate_flood,mild_drought_or_flood,moderate_drought_or_flood
Agra,1951,2,0,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,45.469997,759.3495,-0.24899481,0,0,0,0,0,0
Agra,1957,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41.571667,870.7676667,0.54419321,0,0,0,0,0,0
Agra,1962,5,1,2,1,0,0,0,1,3,0,1,1,0,0,0,1,2,1,1,0,0,0,0,0,57.498573,911.5212,0.8343184,0,0,0,0,0,0
Agra,1967,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,885.3556,0.648045,0,0,0,0,0,0
Agra,1971,4,1,0,0,1,1,1,0,3,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,,778.45525,-0.11298061,0,0,0,0,0,0
Agra,1977,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,737.2911667,-0.40602851,0,0,0,0,0,0
Agra,1980,5,1,1,0,0,0,1,1,4,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,,617.5696667,-1.2583281,1,1,0,0,1,1
Agra,1989,6,1,0,2,1,1,0,0,3,1,0,0,1,1,0,0,3,0,0,2,0,0,0,0,,577.648,-1.5425313,1,1,0,0,1,1
Agra,1991,6,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,5,1,0,1,0,1,0,1,,823.2615,0.20599593,0,0,0,0,0,0
Agra,1996,12,1,0,2,0,2,1,1,9,0,0,1,0,2,1,1,3,1,0,1,0,0,0,0,,872.81725,0.55878425,0,0,0,0,0,0
Agra,1998,6,1,0,0,1,0,0,1,2,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1,55.559998,668.6835,-0.89444774,1,0,0,0,1,0
Agra,1999,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,54.885002,948.489,1.0974928,0,0,0,0,0,0
Ahmedabad,1951,4,1,1,0,0,1,1,0,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,49.91,549.729,-0.4024272,0,0,0,0,0,0
Ahmedabad,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.379997,654.3418333,0.69857919,0,0,0,0,0,0
Ahmedabad,1962,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,61.167999,729.0222,1.4845588,0,0,0,0,0,0
Ahmedabad,1967,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,625.9282,0.39953753,0,0,0,0,0,0
Ahmedabad,1971,3,1,1,0,0,0,1,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,599.19225,0.11815284,0,0,0,0,0,0
Ahmedabad,1977,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,629.9881667,0.442267,0,0,0,0,0,0
Ahmedabad,1980,3,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,610.8236667,0.24056864,0,0,0,0,0,0
Ahmedabad,1989,3,1,1,0,0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,434.8195,-1.6118017,1,1,0,0,1,1
Ahmedabad,1991,6,1,0,2,0,0,0,1,2,1,0,1,0,0,0,0,4,0,0,1,0,0,0,1,,573.8435,-0.14863217,0,0,0,0,0,0
Ahmedabad,1996,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,,640.61,0.55405736,0,0,0,0,0,0
Ahmedabad,1998,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,57.212002,731.088,1.5063004,0,0,1,0,1,0
Ahmedabad,1999,3,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,41.959999,486.757,-1.0651811,1,1,0,0,1,1
Ahmednagar,1951,4,0,0,1,1,1,1,0,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,44.119999,825.2075,-0.27183855,0,0,0,0,0,0
Ahmednagar,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.004997,1003.079667,2.0814862,0,0,1,1,1,1
Ahmednagar,1962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,58.746666,932.1168,1.1426171,0,0,0,0,0,0
Ahmednagar,1967,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,789.7904,-0.74042189,1,0,0,0,1,0
Ahmednagar,1971,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,892.873,0.62340492,0,0,0,0,0,0
Ahmednagar,1977,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,770.8238333,-0.99135768,1,0,0,0,1,0
Ahmednagar,1980,4,1,0,0,0,0,1,1,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,773.614,-0.95444256,1,0,0,0,1,0
Ahmednagar,1989,4,1,0,1,0,1,0,0,2,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,,821.92775,-0.31523103,0,0,0,0,0,0
Ahmednagar,1991,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,,867.076,0.2820996,0,0,0,0,0,0
Ahmednagar,1996,6,1,0,2,0,1,0,0,4,1,0,2,0,0,0,0,2,0,0,0,0,1,0,0,,887.32525,0.55000579,0,0,0,0,0,0
Ahmednagar,1998,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.895714,947.0275,1.339892,0,0,0,0,0,0
Ahmednagar,1999,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.970001,825.251,-0.271263,0,0,0,0,0,0
Ajmer,1951,5,0,2,0,1,1,1,0,5,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,54.41,487.5475,-0.52117217,1,0,0,0,1,0
Ajmer,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.400002,593.8378333,0.56480378,0,0,0,0,0,0
Ajmer,1962,3,0,1,1,0,0,0,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,55.799999,555.2386,0.17043266,0,0,0,0,0,0
Ajmer,1967,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,580.6558,0.43012202,0,0,0,0,0,0
Ajmer,1971,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,477.93875,-0.61934543,1,0,0,0,1,0
Ajmer,1977,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,672.6488333,1.3700215,0,0,0,0,0,0
Ajmer,1980,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,593.8803333,0.565238,0,0,0,0,0,0
Ajmer,1989,3,2,0,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,387.3245,-1.5451577,1,1,0,0,1,1
Ajmer,1991,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,,477.011,-0.62882429,1,0,0,0,1,0
Ajmer,1996,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,,706.762,1.7185581,0,0,1,0,1,0
Ajmer,1998,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,58.939999,648.8295,1.1266576,0,0,0,0,0,0
Ajmer,1999,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.700001,500.932,-0.38442174,0,0,0,0,0,0
