Portfolio Company Name,Website,Stage,Deal Date,Deal Size,DealSize (USD mn),DealSize (EUR mn),Total Known Funding (USD mn),Total Known Funding (EUR mn),Deal Status,Investors,Specific Funds,State,Location,Region,VC Industry Classification,Primary Industry,Sub-Industries,Investment Status
"ZS Pharma, Inc.",www.zspharma.com,Series A/Round 1,1/1/12,1.00 USD,1,0.79,106.31,79,Completed,,,Texas,US,North America,Health Care,Pharmaceuticals,Specialty Pharmaceuticals,Active
"ZS Pharma, Inc.",www.zspharma.com,Venture Debt,1/6/12,,,,106.31,79,Completed,,,Texas,US,North America,Health Care,Pharmaceuticals,Specialty Pharmaceuticals,Active
"ZS Pharma, Inc.",www.zspharma.com,Series C/Round 3,10/23/12,46.00 USD,46,35.52,106.31,79,Completed,"3x5 Special Opportunity Partners, Alta Partners, Devon Park Bioventures, RiverVest Ventures, Salem Partners","3x5 Special Opportunity Fund, Alta Partners VIII, Devon Park Bioventures, RiverVest Venture Partners II",Texas,US,North America,Health Care,Pharmaceuticals,Specialty Pharmaceuticals,Active
"ZS Pharma, Inc.",www.zspharma.com,Series D/Round 4,3/5/14,55.00 USD,55,39.55,106.31,79,Completed,,,Texas,US,North America,Health Care,Pharmaceuticals,Specialty Pharmaceuticals,Active
ZS-Handling GmbH,www.zs-handling.de,Growth Capital/Expansion,6/1/06,,,,,,Completed,S-Refit,,,Germany,West Europe,Industrials,Engineering,"Electronic Components, Technology, Industrial",Active
ZS-Handling GmbH,www.zs-handling.de,Unspecified Round,6/1/09,,,,,,Completed,"KfW Banking Group, S-Refit",S-Refit ERDF Fonds Bayern *,,Germany,West Europe,Industrials,Engineering,"Electronic Components, Technology, Industrial",Active
"Zscaler, Inc.",www.zscaler.com,Unspecified Round,8/29/12,38.00 USD,38,29.68,38,29.68,Completed,Lightspeed Venture Partners,Lightspeed Venture Partners VII,California,US,North America,Other IT,IT Security,,Active
Ztar Mobile Inc.,www.ztarmobile.com,Series A/Round 1,7/23/07,4.00 USD,4,2.96,4,2.96,Completed,Novak Biddle Venture Partners,Novak Biddle Venture Partners V,Texas,US,North America,Other IT,Wireless,Wireless Telecoms Services & Equipment,Active
ZTEC Instruments,www.ztecinstruments.com,Unspecified Round,2/20/08,0.20 USD,0.2,0.13,1,0.77,Completed,Verge,,New Mexico,US,North America,Semic. & Electronics,Electronics,Electronic Components,Realised
ZTEC Instruments,www.ztecinstruments.com,Add-on,10/29/13,,,,,,Completed,"LitePoint, Sequoia Capital",,New Mexico,US,North America,Semic. & Electronics,Electronics,Electronic Components,Active
